# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	8116
#@/user_id	0852eae9-5c80-4408-af08-89a82269f461
a 	啊	c=2 d=1.98511 t=8116
xin de 	新的	c=1 d=0.794534 t=8116
xin hao 	信号	c=4 d=3.45601 t=8116
xin wen 	新闻	c=1 d=0.909373 t=8116
xin xi 	信息	c=30 d=9.54242 t=8116
xin yong ka 	信用卡	c=1 d=0.995012 t=8116
xin zeng 	新增	c=1 d=0.937067 t=8116
xing 	行	c=1 d=0.900325 t=8116
xing chen 	星辰	c=1 d=0.995012 t=8116
xing hao 	型号	c=1 d=0.99005 t=8116
xing neng 	性能	c=2 d=1.87203 t=8116
xing shi 	形式	c=1 d=0.882497 t=8116
xiu fu 	修复	c=9 d=4.62288 t=8116
xiu gai 	修改	c=22 d=8.84506 t=8116
xiu gao 	修高	c=1 d=0.918512 t=8116
xiu mian 	休眠	c=2 d=1.66486 t=8116
xiu zheng 	修正	c=4 d=2.42781 t=8116
xu chuan 	续传	c=3 d=2.10514 t=8116
xu lie 	序列	c=0 d=0.0941765 t=8116
xu lie hua 	序列化	c=18 d=9.1074 t=8116
xu ni 	虚拟	c=1 d=0.99005 t=8116
xu qiu 	需求	c=9 d=4.42556 t=8116
xu yao 	需要	c=44 d=7.75451 t=8116
xuan 	选	c=1 d=0.995012 t=8116
xuan ran 	渲染	c=3 d=1.51233 t=8116
xuan ze 	选择	c=7 d=2.78695 t=8116
xuan zhong 	选中	c=6 d=2.62175 t=8116
xue 	血	c=1 d=0.869358 t=8116
xue sheng 	学生	c=2 d=1.68353 t=8116
xun huan 	循环	c=3 d=2.60847 t=8116
xun wen 	询问	c=2 d=1.24162 t=8116
yan 	淹	c=1 d=0.995012 t=8116
yan chi 	延迟	c=1 d=0.657047 t=8116
yan se 	颜色	c=5 d=3.54058 t=8116
yang shi 	样式	c=5 d=2.9516 t=8116
yang zi 	样子	c=2 d=1.66365 t=8116
yao 	要	c=17 d=4.59226 t=8116
yao bu yao 	要不要	c=1 d=0.878095 t=8116
yao qiu 	要求	c=11 d=5.85411 t=8116
yao shi 	要是	c=1 d=0.927743 t=8116
ye 	也	c=15 d=5.12854 t=8116
ye 	叶	c=1 d=1 t=8116
ye bu dui 	也不对	c=1 d=0.366045 t=8116
ye bu shi 	也不是	c=2 d=1.64382 t=8116
ye jiu shi 	也就是	c=10 d=3.09879 t=8116
ye mei you 	也没有	c=1 d=0.97531 t=8116
ye mian 	页面	c=2 d=1.77105 t=8116
ye shi 	也是	c=4 d=1.12083 t=8116
ye wu 	业务	c=1 d=0.913931 t=8116
ye yao 	也要	c=1 d=0.955997 t=8116
yi 	一	c=1 d=0.900325 t=8116
yi 	以	c=6 d=3.65281 t=8116
yi 	意	c=1 d=0.97531 t=8116
yi bu 	异步	c=1 d=0.729789 t=8116
yi bu fen 	一部分	c=1 d=0.66034 t=8116
yi ceng 	一层	c=1 d=0.891366 t=8116
yi chu 	溢出	c=2 d=1.88504 t=8116
yi chu 	移除	c=1 d=1 t=8116
yi ci 	一次	c=8 d=3.05278 t=8116
yi cun zai 	已存在	c=1 d=0.99005 t=8116
yi ding 	一定	c=3 d=1.70716 t=8116
yi dong 	易懂	c=1 d=1 t=8116
yi dong 	移动	c=5 d=3.29717 t=8116
yi fen 	一份	c=2 d=1.75618 t=8116
yi fen 	一分	c=1 d=0.965605 t=8116
yi ge 	一个	c=71 d=12.2398 t=8116
yi gong 	一共	c=1 d=0.786628 t=8116
yi hang 	一行	c=3 d=2.53521 t=8116
yi hou 	以后	c=1 d=0.737123 t=8116
yi ji 	以及	c=6 d=2.90359 t=8116
yi jing 	已经	c=16 d=5.87678 t=8116
yi kai shi 	一开始	c=1 d=0.615697 t=8116
yi kuan 	一款	c=1 d=0.927743 t=8116
yi lai 	依赖	c=6 d=4.20373 t=8116
yi nei 	以内	c=1 d=0.965605 t=8116
yi qi 	一起	c=1 d=1 t=8116
yi ran 	依然	c=1 d=0.900325 t=8116
yi shang 	以上	c=3 d=2.54851 t=8116
yi shang ru ju 	以上入局	c=1 d=0.941765 t=8116
yi si 	意思	c=13 d=7.85419 t=8116
yi ti 	一体	c=1 d=0.718924 t=8116
yi tian 	一天	c=1 d=0.985112 t=8116
yi wei zhe 	意味着	c=1 d=0.995012 t=8116
yi xia 	一下	c=43 d=11.1348 t=8116
yi xia 	以下	c=5 d=3.70114 t=8116
yi xie 	一些	c=6 d=3.49674 t=8116
yi yang 	一样	c=7 d=2.9521 t=8116
yi zhi 	一直	c=1 d=0.71177 t=8116
yi zhi 	一致	c=2 d=1.8345 t=8116
yi zhi 	已知	c=1 d=0.99005 t=8116
yi zhong 	一种	c=1 d=0.882497 t=8116
yin 	音	c=1 d=0.932394 t=8116
yin cang 	隐藏	c=1 d=0.767206 t=8116
yin ci 	因此	c=5 d=2.69479 t=8116
yin qi 	引起	c=1 d=0.951229 t=8116
yin wei 	因为	c=20 d=5.05024 t=8116
yin yong 	引用	c=1 d=0.70822 t=8116
ying 	硬	c=1 d=0.83527 t=8116
ying gai 	应该	c=32 d=8.97152 t=8116
ying li 	盈利	c=3 d=2.81466 t=8116
ying pan 	硬盘	c=1 d=0.927743 t=8116
ying she 	映射	c=1 d=0.970446 t=8116
ying wei da 	英伟达	c=1 d=0.985112 t=8116
ying wen 	英文	c=3 d=2.54956 t=8116
ying xiang 	影响	c=2 d=1.62491 t=8116
ying yong 	应用	c=2 d=1.81721 t=8116
ying yu 	英语	c=1 d=1 t=8116
yong 	用	c=21 d=7.40192 t=8116
yong hu 	用户	c=3 d=2.07362 t=8116
yong li 	用例	c=5 d=3.73129 t=8116
yong you 	拥有	c=2 d=1.75374 t=8116
yong yu 	用于	c=3 d=2.82251 t=8116
yong yuan 	永远	c=2 d=1.45248 t=8116
you 	又	c=9 d=3.96769 t=8116
you 	右	c=1 d=0.790571 t=8116
you 	有	c=63 d=10.9909 t=8116
you 	由	c=1 d=0.97531 t=8116
you bian 	右边	c=2 d=1.41919 t=8116
you dian 	优点	c=1 d=0.970446 t=8116
you guan 	有关	c=1 d=0.995012 t=8116
you hua 	优化	c=19 d=9.36675 t=8116
you ji ge 	有几个	c=1 d=0.70822 t=8116
you mei you 	有没有	c=13 d=4.63333 t=8116
you shen me 	有什么	c=2 d=1.76521 t=8116
you shi 	优势	c=2 d=1.85183 t=8116
you xi 	游戏	c=1 d=0.99005 t=8116
you xiao 	有效	c=2 d=1.37611 t=8116
you xie 	有些	c=2 d=1.51176 t=8116
you xiu 	优秀	c=1 d=0.995012 t=8116
you ya 	优雅	c=5 d=3.77248 t=8116
you yi ge 	有一个	c=1 d=0.852144 t=8116
you yi xie 	有一些	c=1 d=0.951229 t=8116
yu 	与	c=5 d=2.91456 t=8116
yu 	于	c=2 d=1.6278 t=8116
yu dao 	遇到	c=2 d=1.35499 t=8116
yu fa 	语法	c=5 d=3.88569 t=8116
yu gu 	预估	c=1 d=0.733447 t=8116
yu ming 	域名	c=1 d=0.951229 t=8116
yu yan 	语言	c=2 d=1.80927 t=8116
yuan 	原	c=9 d=3.37144 t=8116
yuan 	媛	c=1 d=0.891366 t=8116
yuan cheng 	远程	c=6 d=5.51295 t=8116
yuan dai ma 	源代码	c=1 d=0.913931 t=8116
yuan lai 	原来	c=1 d=0.99005 t=8116
yuan li 	原理	c=1 d=0.99005 t=8116
yuan ma 	源码	c=3 d=2.37164 t=8116
yuan shi 	原始	c=1 d=0.843665 t=8116
yuan su 	元素	c=1 d=0.71177 t=8116
yuan xian 	原先	c=2 d=1.66573 t=8116
yuan yin 	原因	c=2 d=1.84633 t=8116
yue 	月	c=1 d=0.995012 t=8116
yue jia 	越加	c=1 d=0.970446 t=8116
yue shao 	越少	c=1 d=0.97531 t=8116
yue shu 	约束	c=1 d=0.913931 t=8116
yun 	云	c=2 d=1.71285 t=8116
yun pan 	云盘	c=4 d=2.95653 t=8116
yun xing 	运行	c=28 d=8.66011 t=8116
yun xing shi 	运行时	c=2 d=1.88589 t=8116
zai 	再	c=12 d=4.38335 t=8116
zai 	在	c=72 d=11.5782 t=8116
zai 	载	c=2 d=1.77105 t=8116
zai bu 	在不	c=0 d=0.0937067 t=8116
zai bu shi yong 	在不使用	c=1 d=0.941765 t=8116
zai chu li 	再处理	c=1 d=0.946485 t=8116
zai ci 	再次	c=6 d=2.36826 t=8116
zai na 	在哪	c=2 d=1.52333 t=8116
zai na li 	在哪里	c=2 d=1.53346 t=8116
zai shi pei 	在适配	c=1 d=0.865022 t=8116
zai shi yong 	在使用	c=1 d=0.97531 t=8116
zai shuo 	再说	c=1 d=0.995012 t=8116
zai xian 	在线	c=2 d=1.94176 t=8116
zai xie 	在写	c=1 d=0.904837 t=8116
zai yi ci 	再一次	c=1 d=0.99005 t=8116
zai zhe ge 	在这个	c=1 d=0.852144 t=8116
zan shi 	暂时	c=2 d=1.4437 t=8116
zao cheng 	造成	c=2 d=1.66711 t=8116
zen me 	怎么	c=66 d=14.9952 t=8116
zen me shuo 	怎么说	c=1 d=0.995012 t=8116
zen me zuo 	怎么做	c=1 d=0.99005 t=8116
zeng 	曾	c=1 d=0.99005 t=8116
zeng da 	增大	c=1 d=0.782705 t=8116
zeng jia 	增加	c=6 d=4.88527 t=8116
zeng liang 	增量	c=1 d=1 t=8116
zeng qiang 	增强	c=2 d=1.86042 t=8116
zhan 	站	c=1 d=0.99005 t=8116
zhan kai 	展开	c=1 d=0.99005 t=8116
zhan man 	占满	c=3 d=1.79899 t=8116
zhan shi 	展示	c=16 d=5.56753 t=8116
zhan shi qu 	展示区	c=1 d=0.458406 t=8116
zhan tie 	粘贴	c=3 d=2.51865 t=8116
zhan yong 	占用	c=3 d=2.06956 t=8116
zhang 	张	c=1 d=0.814647 t=8116
zhang dan 	账单	c=1 d=1 t=8116
zhao chu 	找出	c=1 d=0.740818 t=8116
zhao dao 	找到	c=3 d=1.14093 t=8116
zhe 	这	c=14 d=5.40821 t=8116
zhe duan 	这段	c=2 d=1.59858 t=8116
zhe ge 	这个	c=101 d=15.7144 t=8116
zhe hang 	这行	c=1 d=0.603506 t=8116
zhe ju hua 	这句话	c=1 d=0.937067 t=8116
zhe li 	这里	c=13 d=5.07245 t=8116
zhe me 	这么	c=2 d=0.941765 t=8116
zhe pian 	这篇	c=1 d=0.985112 t=8116
zhe shi 	这是	c=13 d=5.39762 t=8116
zhe tiao 	这条	c=1 d=0.869358 t=8116
zhe xie 	这些	c=10 d=4.39344 t=8116
zhe yang 	这样	c=18 d=6.44381 t=8116
zhe yang zi 	这样子	c=1 d=0.918512 t=8116
zhe yi duan 	这一段	c=3 d=2.77214 t=8116
zhe zhong 	这种	c=4 d=3.15981 t=8116
zhen de 	真的	c=2 d=1.73666 t=8116
zhen shi 	真实	c=1 d=0.774916 t=8116
zheng 	正	c=1 d=1 t=8116
zheng ce 	政策	c=1 d=0.666977 t=8116
zheng chang 	正常	c=29 d=9.8461 t=8116
zheng ge 	整个	c=2 d=1.66963 t=8116
zheng he 	整合	c=1 d=0.985112 t=8116
zheng que 	正确	c=11 d=5.37361 t=8116
zheng shu 	整数	c=3 d=2.37541 t=8116
zheng ti 	整体	c=4 d=2.20429 t=8116
zheng zhi 	政治	c=2 d=1.87311 t=8116
zhi 	之	c=1 d=0.99005 t=8116
zhi 	值	c=14 d=7.00629 t=8116
zhi 	只	c=9 d=4.47037 t=8116
zhi 	指	c=3 d=2.46958 t=8116
zhi bao liu 	只保留	c=1 d=0.927743 t=8116
zhi bu guo 	只不过	c=1 d=0.759572 t=8116
zhi chi 	支持	c=7 d=4.50638 t=8116
zhi dao 	直到	c=3 d=2.79348 t=8116
zhi dao 	知道	c=3 d=2.28148 t=8116
zhi ding 	指定	c=14 d=6.44498 t=8116
zhi guan 	直观	c=1 d=0.97531 t=8116
zhi hou 	之后	c=18 d=3.81194 t=8116
zhi hu 	知乎	c=2 d=1.9802 t=8116
zhi jian 	之间	c=2 d=0.833971 t=8116
zhi jie 	直接	c=31 d=8.56286 t=8116
zhi lei 	之类	c=2 d=1.82116 t=8116
zhi ming 	致命	c=1 d=0.822835 t=8116
zhi nan 	指南	c=1 d=1 t=8116
zhi neng 	只能	c=9 d=4.16041 t=8116
zhi neng 	智能	c=2 d=1.77952 t=8116
zhi qian 	之前	c=5 d=3.55317 t=8116
zhi ti qu 	指提取	c=1 d=0.985112 t=8116
zhi xiang 	指向	c=1 d=0.980199 t=8116
zhi xing 	执行	c=9 d=3.6026 t=8116
zhi xu yao 	只需要	c=6 d=2.95943 t=8116
zhi yao 	只要	c=2 d=1.56732 t=8116
zhi ying zhi sun 	止盈止损	c=1 d=0.909373 t=8116
zhi you 	只有	c=5 d=1.62208 t=8116
zhi zai 	只在	c=1 d=0.873716 t=8116
zhi zhen 	指针	c=1 d=0.965605 t=8116
zhong 	中	c=33 d=11.1776 t=8116
zhong 	种	c=1 d=0.980199 t=8116
zhong duan 	终端	c=16 d=8.59899 t=8116
zhong guo 	中国	c=1 d=0.865022 t=8116
zhong shi 	重视	c=1 d=0.960789 t=8116
zhong wei 	中卫	c=1 d=0.97531 t=8116
zhong wen 	中文	c=4 d=3.49087 t=8116
zhong zhi 	终止	c=1 d=0.748264 t=8116
zhou hui 	周会	c=2 d=1.89319 t=8116
zhou qi 	周期	c=1 d=0.722527 t=8116
zhu 	主	c=2 d=0.895834 t=8116
zhu bu 	逐步	c=1 d=0.955997 t=8116
zhu liu 	主流	c=1 d=0.985112 t=8116
zhu ru ci lei 	诸如此类	c=1 d=0.687289 t=8116
zhu ti 	主题	c=1 d=1.01823 t=8116
zhu ti se 	主题色	c=1 d=0.99005 t=8116
zhu xian 	主线	c=2 d=1.73777 t=8116
zhu xian cheng 	主线程	c=3 d=2.45157 t=8116
zhu yi 	注意	c=3 d=1.23822 t=8116
zhuan 	转	c=1 d=0.869358 t=8116
zhuan huan 	转换	c=7 d=4.64352 t=8116
zhuan ye 	专业	c=1 d=0.932394 t=8116
zhuan yong 	专用	c=1 d=0.951229 t=8116
zhuang jia 	庄家	c=1 d=0.937067 t=8116
zhuang tai 	状态	c=7 d=3.32765 t=8116
zhui zhu 	追逐	c=1 d=0.995012 t=8116
zhun bei 	准备	c=2 d=1.61752 t=8116
zi 	子	c=3 d=2.61124 t=8116
zi dai 	自带	c=1 d=0.955997 t=8116
zi dian 	字典	c=1 d=0.995012 t=8116
zi ding yi 	自定义	c=5 d=2.83151 t=8116
zi dong 	自动	c=10 d=5.92076 t=8116
zi duan 	字段	c=43 d=11.1441 t=8116
zi fu 	字符	c=2 d=1.16443 t=8116
zi fu chuan 	字符串	c=5 d=3.21048 t=8116
zi ji 	自己	c=5 d=2.39572 t=8116
zi mian 	字面	c=1 d=0.980199 t=8116
zi mian liang 	字面量	c=1 d=0.66034 t=8116
zi se 	紫色	c=2 d=1.97521 t=8116
zi ti 	字体	c=10 d=6.06319 t=8116
zi yuan 	自愿	c=1 d=0.97531 t=8116
zi zu jian 	子组件	c=8 d=2.66776 t=8116
zi zuo zhu zhang 	自作主张	c=1 d=0.970446 t=8116
zong jie 	总结	c=4 d=3.12213 t=8116
zong shi 	总是	c=1 d=0.995012 t=8116
zong shu 	总数	c=1 d=0.941765 t=8116
zu 	组	c=1 d=0.985112 t=8116
zu he 	组合	c=1 d=0.99005 t=8116
zu jian 	组件	c=7 d=2.70937 t=8116
zui 	最	c=1 d=0.529935 t=8116
zui di ceng 	最底层	c=1 d=0.782705 t=8116
zui duan 	最短	c=1 d=0.932394 t=8116
zui duo 	最多	c=3 d=1.98877 t=8116
zui hao 	最好	c=1 d=0.913931 t=8116
zui hou 	最后	c=1 d=0.941765 t=8116
zui qiang 	最强	c=1 d=0.985112 t=8116
zui shao 	最少	c=1 d=0.951229 t=8116
zui xiao 	最小	c=1 d=0.585669 t=8116
zui xin 	最新	c=6 d=3.32362 t=8116
zui zhong 	最终	c=2 d=1.81775 t=8116
zuo 	做	c=15 d=7.8038 t=8116
zuo 	左	c=1 d=0.852144 t=8116
zuo bian 	左边	c=3 d=1.84477 t=8116
zuo ce 	左侧	c=2 d=1.53829 t=8116
zuo dao 	做到	c=6 d=3.30365 t=8116
zuo kong 	做空	c=2 d=1.9458 t=8116
zuo wei 	作为	c=1 d=0.941765 t=8116
zuo yi xie 	做一些	c=1 d=0.985112 t=8116
zuo yong 	作用	c=6 d=4.07597 t=8116
zuo yong yu 	作用域	c=2 d=1.74765 t=8116
